"region","sector","fuel","year","multiplier","GCAM_region_ID","value","supplysector","subsector","stub.technology","minicam.energy.input","calibration","secondary.output"
"JS","industry_energy","electricity",2015,0.0963977546316363,11,0.686428329448837,"other industrial energy use","electricity","electricity","elect_td_ind","input",NA
"JS","industry_energy","gas",1975,0.00209734209530227,11,0.000568463939602273,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JS","industry_energy","gas",1990,0.00244734601555029,11,0.000336947330247127,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JS","industry_energy","gas",2005,0.0488448627190485,11,0.0208045776945191,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JS","industry_energy","gas",2010,0.0548055180673809,11,0.0416174431729072,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JS","industry_energy","gas",2015,0.0571373264304508,11,0.0193523592471479,"other industrial energy use","gas","gas","wholesale gas","input",NA
"JS","industry_energy","heat",1975,0.0294110787112232,11,0,"other industrial energy use","district heat","district heat","district heat","input",NA
"JS","industry_energy","heat",1990,0.067378255648302,11,0.0351315424379625,"other industrial energy use","district heat","district heat","district heat","input",NA
"JS","industry_energy","heat",2005,0.0907697774861733,11,0.152947128113733,"other industrial energy use","district heat","district heat","district heat","input",NA
"JS","industry_energy","heat",2010,0.147986544183269,11,0.324037222192256,"other industrial energy use","district heat","district heat","district heat","input",NA
"JS","industry_energy","heat",2015,0.129391772726749,11,0.352887326595923,"other industrial energy use","district heat","district heat","district heat","input",NA
"JS","industry_energy","refined liquids",1975,0.0664665571765443,11,0.100917962472006,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JS","industry_energy","refined liquids",1990,0.0776686278815134,11,0.13166320641906,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JS","industry_energy","refined liquids",2005,0.0909708408640185,11,0.252591630702623,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JS","industry_energy","refined liquids",2010,0.0632116422149926,11,0.104648679136813,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JS","industry_energy","refined liquids",2015,0.0523262767773635,11,0.0502318529023163,"other industrial energy use","refined liquids","refined liquids","refined liquids industrial","input",NA
"JX","chp_elec","biomass",1975,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"JX","chp_elec","biomass",1990,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"JX","chp_elec","biomass",2005,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"JX","chp_elec","biomass",2010,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"JX","chp_elec","biomass",2015,NA,NA,0,"other industrial energy use","biomass","biomass cogen","delivered biomass","input","electricity"
"JX","chp_elec","coal",1975,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
"JX","chp_elec","coal",1990,NA,NA,0,"other industrial energy use","coal","coal cogen","delivered coal","input","electricity"
