# File: detailed_industry_output.csv
# Title: Detailed industry output
# Units:  Mt/EJ
# Column types: cncccn
# ----------
province,year,supplysector,subsector,technology,production
AH,2010,construction energy use,electricity,electricity,0.007371939
AH,2010,construction energy use,gas,gas,0.000146259
AH,2010,construction energy use,hydrogen,hydrogen,0
AH,2010,construction energy use,liquid,liquid,0.005759574
AH,2010,construction feedstocks,coal,coal,0
AH,2010,construction feedstocks,gas,gas,0
AH,2010,construction feedstocks,liquid,liquid,0
AH,2010,iron and steel,BLASTFUR,Biomass-based,0
AH,2010,iron and steel,BLASTFUR,BLASTFUR,17.81
AH,2010,iron and steel,BLASTFUR,BLASTFUR CCS,0
AH,2010,iron and steel,EAF with DRI,EAF with DRI,0
AH,2010,iron and steel,EAF with DRI,EAF with DRI CCS,0
AH,2010,iron and steel,EAF with DRI,Hydrogen-based DRI,0
AH,2010,iron and steel,EAF with scrap,EAF with scrap,0.75
AH,2010,mining energy use,biomass,biomass,0
AH,2010,mining energy use,coal,coal,0.036931143
AH,2010,mining energy use,district heat,district heat,0
AH,2010,mining energy use,electricity,electricity,0.018938576
AH,2010,mining energy use,gas,gas,0.006334265
AH,2010,mining energy use,hydrogen,hydrogen,0
AH,2010,mining energy use,liquid,liquid,0.003665374
AH,2015,agricultural energy use,biomass,biomass,0
AH,2015,agricultural energy use,coal,coal,0.023779855
AH,2015,agricultural energy use,district heat,district heat,0
AH,2015,agricultural energy use,electricity,electricity,0.015091883
AH,2015,agricultural energy use,gas,gas,0.000109172
AH,2015,agricultural energy use,hydrogen,hydrogen,0
AH,2015,agricultural energy use,liquid,liquid,0.009994258
AH,2015,chemical energy use,biomass,biomass,0
AH,2015,chemical energy use,coal,coal,0.042540743
AH,2015,chemical energy use,coal,coal CCS,0
AH,2015,chemical energy use,district heat,district heat,0.001738335
AH,2015,chemical energy use,electricity,electricity,0.007485645
AH,2015,chemical energy use,gas,gas,0.007782235
AH,2015,chemical energy use,gas,gas CCS,0
AH,2015,chemical energy use,hydrogen,hydrogen,0
AH,2015,chemical energy use,liquid,liquid,0.009317339
AH,2015,chemical energy use,liquid,liquid CCS,0
AH,2015,chemical feedstocks,coal,coal,0.041457595
AH,2015,chemical feedstocks,gas,gas,0
AH,2015,chemical feedstocks,liquid,liquid,0
AH,2015,chemical,chemical,chemical,0.098377566
AH,2015,coke,coke,coke,9.5849
AH,2015,coke,coke,coke CCS,0
AH,2015,construction,construction,construction,0.028007416
AH,2015,construction energy use,biomass,biomass,0
AH,2015,construction energy use,coal,coal,0.003501362
AH,2015,construction energy use,district heat,district heat,0
AH,2015,construction energy use,electricity,electricity,0.00424865
AH,2015,construction energy use,gas,gas,0.000104233
AH,2015,construction energy use,hydrogen,hydrogen,0
AH,2015,construction energy use,liquid,liquid,0.020153171
AH,2015,construction feedstocks,coal,coal,0
AH,2015,construction feedstocks,gas,gas,0
AH,2015,construction feedstocks,liquid,liquid,0
AH,2015,iron and steel,BLASTFUR,Biomass-based,0
AH,2015,iron and steel,BLASTFUR,BLASTFUR,24.63763278
AH,2015,iron and steel,BLASTFUR,BLASTFUR CCS,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI,0
AH,2015,iron and steel,EAF with DRI,EAF with DRI CCS,0
AH,2015,iron and steel,EAF with DRI,Hydrogen-based DRI,0
AH,2015,iron and steel,EAF with scrap,EAF with scrap,0.422367218
AH,2015,mining energy use,biomass,biomass,0
AH,2015,mining energy use,coal,coal,0.035664705
AH,2015,mining energy use,district heat,district heat,0
AH,2015,mining energy use,electricity,electricity,0.019953669
AH,2015,mining energy use,gas,gas,0.00703821
AH,2015,mining energy use,hydrogen,hydrogen,0
AH,2015,mining energy use,liquid,liquid,0.002744333
BJ,1975,agricultural energy use,biomass,biomass,0
BJ,1975,agricultural energy use,coal,coal,0
BJ,1975,agricultural energy use,district heat,district heat,0
BJ,1975,agricultural energy use,electricity,electricity,0
BJ,1975,agricultural energy use,gas,gas,0
BJ,1975,agricultural energy use,hydrogen,hydrogen,0
BJ,1975,agricultural energy use,liquid,liquid,0
BJ,1975,chemical energy use,biomass,biomass,0
BJ,1975,chemical energy use,coal,coal,0
BJ,1975,chemical energy use,coal,coal CCS,0
BJ,1975,chemical energy use,district heat,district heat,0
BJ,1975,chemical energy use,electricity,electricity,0
BJ,1975,chemical energy use,gas,gas,0
BJ,1975,chemical energy use,gas,gas CCS,0
BJ,1975,chemical energy use,hydrogen,hydrogen,0
BJ,1975,chemical energy use,liquid,liquid,0
BJ,1975,chemical energy use,liquid,liquid CCS,0
BJ,1975,chemical feedstocks,coal,coal,0
BJ,1975,chemical feedstocks,gas,gas,0
BJ,1975,chemical feedstocks,liquid,liquid,0
BJ,1975,chemical,chemical,chemical,0
BJ,1975,coke,coke,coke,0
BJ,1975,coke,coke,coke CCS,0
BJ,1975,construction,construction,construction,0
BJ,1975,construction energy use,biomass,biomass,0
BJ,1975,construction energy use,coal,coal,0
BJ,1975,construction energy use,district heat,district heat,0
BJ,1975,construction energy use,electricity,electricity,0
BJ,1975,construction energy use,gas,gas,0
BJ,1975,construction energy use,hydrogen,hydrogen,0
BJ,1975,construction energy use,liquid,liquid,0
BJ,1975,construction feedstocks,coal,coal,0
BJ,1975,construction feedstocks,gas,gas,0
BJ,1975,construction feedstocks,liquid,liquid,0
BJ,1975,iron and steel,BLASTFUR,Biomass-based,0
BJ,1975,iron and steel,BLASTFUR,BLASTFUR,0
BJ,1975,iron and steel,BLASTFUR,BLASTFUR CCS,0
BJ,1975,iron and steel,EAF with DRI,EAF with DRI,0
BJ,1975,iron and steel,EAF with DRI,EAF with DRI CCS,0
BJ,1975,iron and steel,EAF with DRI,Hydrogen-based DRI,0
BJ,1975,iron and steel,EAF with scrap,EAF with scrap,0
BJ,1975,mining energy use,biomass,biomass,0
BJ,1975,mining energy use,coal,coal,0
BJ,1975,mining energy use,district heat,district heat,0
BJ,1975,mining energy use,electricity,electricity,0
BJ,1975,mining energy use,gas,gas,0
BJ,1975,mining energy use,hydrogen,hydrogen,0
BJ,1975,mining energy use,liquid,liquid,0
BJ,1990,agricultural energy use,biomass,biomass,0
BJ,1990,agricultural energy use,coal,coal,0
BJ,1990,agricultural energy use,district heat,district heat,0
BJ,1990,agricultural energy use,electricity,electricity,0
BJ,1990,agricultural energy use,gas,gas,0
BJ,1990,agricultural energy use,hydrogen,hydrogen,0
BJ,1990,agricultural energy use,liquid,liquid,0
BJ,1990,chemical energy use,biomass,biomass,0
BJ,1990,chemical energy use,coal,coal,0
BJ,1990,chemical energy use,coal,coal CCS,0
BJ,1990,chemical energy use,district heat,district heat,0
BJ,1990,chemical energy use,electricity,electricity,0
BJ,1990,chemical energy use,gas,gas,0
BJ,1990,chemical energy use,gas,gas CCS,0
BJ,1990,chemical energy use,hydrogen,hydrogen,0
BJ,1990,chemical energy use,liquid,liquid,0
BJ,1990,chemical energy use,liquid,liquid CCS,0
BJ,1990,chemical feedstocks,coal,coal,0
BJ,1990,chemical feedstocks,gas,gas,0
BJ,1990,chemical feedstocks,liquid,liquid,0
BJ,1990,chemical,chemical,chemical,0
BJ,1990,coke,coke,coke,0
BJ,1990,coke,coke,coke CCS,0
BJ,1990,construction,construction,construction,0
BJ,1990,construction energy use,biomass,biomass,0
BJ,1990,construction energy use,coal,coal,0
BJ,1990,construction energy use,district heat,district heat,0
BJ,1990,construction energy use,electricity,electricity,0
BJ,1990,construction energy use,gas,gas,0
BJ,1990,construction energy use,hydrogen,hydrogen,0
BJ,1990,construction energy use,liquid,liquid,0
BJ,1990,construction feedstocks,coal,coal,0
BJ,1990,construction feedstocks,gas,gas,0
BJ,1990,construction feedstocks,liquid,liquid,0
BJ,1990,iron and steel,BLASTFUR,Biomass-based,0
BJ,1990,iron and steel,BLASTFUR,BLASTFUR,0
BJ,1990,iron and steel,BLASTFUR,BLASTFUR CCS,0
BJ,1990,iron and steel,EAF with DRI,EAF with DRI,0
BJ,1990,iron and steel,EAF with DRI,EAF with DRI CCS,0
BJ,1990,iron and steel,EAF with DRI,Hydrogen-based DRI,0
BJ,1990,iron and steel,EAF with scrap,EAF with scrap,0
BJ,1990,mining energy use,biomass,biomass,0
BJ,1990,mining energy use,coal,coal,0
BJ,1990,mining energy use,district heat,district heat,0
BJ,1990,mining energy use,electricity,electricity,0
BJ,1990,mining energy use,gas,gas,0
BJ,1990,mining energy use,hydrogen,hydrogen,0
BJ,1990,mining energy use,liquid,liquid,0
BJ,2005,agricultural energy use,biomass,biomass,0
BJ,2005,agricultural energy use,coal,coal,0
BJ,2005,agricultural energy use,district heat,district heat,0
BJ,2005,agricultural energy use,electricity,electricity,0
BJ,2005,agricultural energy use,gas,gas,0
BJ,2005,agricultural energy use,hydrogen,hydrogen,0
BJ,2005,agricultural energy use,liquid,liquid,0
BJ,2005,chemical energy use,biomass,biomass,0
BJ,2005,chemical energy use,coal,coal,0
BJ,2005,chemical energy use,coal,coal CCS,0
BJ,2005,chemical energy use,district heat,district heat,0
BJ,2005,chemical energy use,electricity,electricity,0
BJ,2005,chemical energy use,gas,gas,0
BJ,2005,chemical energy use,gas,gas CCS,0
BJ,2005,chemical energy use,hydrogen,hydrogen,0
BJ,2005,chemical energy use,liquid,liquid,0
BJ,2005,chemical energy use,liquid,liquid CCS,0
BJ,2005,chemical feedstocks,coal,coal,0
BJ,2005,chemical feedstocks,gas,gas,0
BJ,2005,chemical feedstocks,liquid,liquid,0
BJ,2005,chemical,chemical,chemical,0
BJ,2005,coke,coke,coke,0
BJ,2005,coke,coke,coke CCS,0
BJ,2005,construction,construction,construction,0
BJ,2005,construction energy use,biomass,biomass,0
BJ,2005,construction energy use,coal,coal,0
BJ,2005,construction energy use,district heat,district heat,0
BJ,2005,construction energy use,electricity,electricity,0
BJ,2005,construction energy use,gas,gas,0
BJ,2005,construction energy use,hydrogen,hydrogen,0
BJ,2005,construction energy use,liquid,liquid,0
BJ,2005,construction feedstocks,coal,coal,0
BJ,2005,construction feedstocks,gas,gas,0
BJ,2005,construction feedstocks,liquid,liquid,0
BJ,2005,iron and steel,BLASTFUR,Biomass-based,0
BJ,2005,iron and steel,BLASTFUR,BLASTFUR,0
BJ,2005,iron and steel,BLASTFUR,BLASTFUR CCS,0
BJ,2005,iron and steel,EAF with DRI,EAF with DRI,0
BJ,2005,iron and steel,EAF with DRI,EAF with DRI CCS,0
BJ,2005,iron and steel,EAF with DRI,Hydrogen-based DRI,0
BJ,2005,iron and steel,EAF with scrap,EAF with scrap,0
BJ,2005,mining energy use,biomass,biomass,0
BJ,2005,mining energy use,coal,coal,0
BJ,2005,mining energy use,district heat,district heat,0
BJ,2005,mining energy use,electricity,electricity,0
BJ,2005,mining energy use,gas,gas,0
BJ,2005,mining energy use,hydrogen,hydrogen,0
BJ,2005,mining energy use,liquid,liquid,0
BJ,2010,agricultural energy use,biomass,biomass,0
BJ,2010,agricultural energy use,coal,coal,0.000592429
BJ,2010,agricultural energy use,district heat,district heat,0
BJ,2010,agricultural energy use,electricity,electricity,0.000526911
BJ,2010,agricultural energy use,gas,gas,2.34E-06
BJ,2010,agricultural energy use,hydrogen,hydrogen,0
BJ,2010,agricultural energy use,liquid,liquid,0.000641333
BJ,2010,chemical energy use,biomass,biomass,0
BJ,2010,chemical energy use,coal,coal,0.008525119
BJ,2010,chemical energy use,coal,coal CCS,0
BJ,2010,chemical energy use,district heat,district heat,0
BJ,2010,chemical energy use,electricity,electricity,0.007429471
BJ,2010,chemical energy use,gas,gas,0.001412949
BJ,2010,chemical energy use,gas,gas CCS,0
BJ,2010,chemical energy use,hydrogen,hydrogen,0
BJ,2010,chemical energy use,liquid,liquid,0.004269502
BJ,2010,chemical energy use,liquid,liquid CCS,0
BJ,2010,chemical feedstocks,coal,coal,5.07E-05
BJ,2010,chemical feedstocks,gas,gas,0
BJ,2010,chemical feedstocks,liquid,liquid,0
BJ,2010,chemical,chemical,chemical,0.030910059
BJ,2010,coke,coke,coke,1.6
BJ,2010,coke,coke,coke CCS,0
BJ,2010,construction,construction,construction,0.018162695
BJ,2010,construction energy use,biomass,biomass,0
BJ,2010,construction energy use,coal,coal,0.003473504
BJ,2010,construction energy use,district heat,district heat,0
BJ,2010,construction energy use,electricity,electricity,0.004769788
BJ,2010,construction energy use,gas,gas,9.93E-05
BJ,2010,construction energy use,hydrogen,hydrogen,0
BJ,2010,construction energy use,liquid,liquid,0.009820103
BJ,2010,construction feedstocks,coal,coal,0
BJ,2010,construction feedstocks,gas,gas,0
BJ,2010,construction feedstocks,liquid,liquid,0
BJ,2010,iron and steel,BLASTFUR,Biomass-based,0
BJ,2010,iron and steel,BLASTFUR,BLASTFUR,3.1
BJ,2010,iron and steel,BLASTFUR,BLASTFUR CCS,0
BJ,2010,iron and steel,EAF with DRI,EAF with DRI,0
BJ,2010,iron and steel,EAF with DRI,EAF with DRI CCS,0
BJ,2010,iron and steel,EAF with DRI,Hydrogen-based DRI,0
BJ,2010,iron and steel,EAF with scrap,EAF with scrap,1.18
BJ,2010,mining energy use,biomass,biomass,0
BJ,2010,mining energy use,coal,coal,0.023895168
BJ,2010,mining energy use,district heat,district heat,0
BJ,2010,mining energy use,electricity,electricity,0.012253626
BJ,2010,mining energy use,gas,gas,0.005464659
BJ,2010,mining energy use,hydrogen,hydrogen,0
BJ,2010,mining energy use,liquid,liquid,0.006249481
BJ,2015,agricultural energy use,biomass,biomass,0
BJ,2015,agricultural energy use,coal,coal,0.000469929
BJ,2015,agricultural energy use,district heat,district heat,0
BJ,2015,agricultural energy use,electricity,electricity,0.00029824
BJ,2015,agricultural energy use,gas,gas,2.16E-06
BJ,2015,agricultural energy use,hydrogen,hydrogen,0
BJ,2015,agricultural energy use,liquid,liquid,0.000197503
BJ,2015,chemical energy use,biomass,biomass,0
BJ,2015,chemical energy use,coal,coal,0.005576448
BJ,2015,chemical energy use,coal,coal CCS,0
BJ,2015,chemical energy use,district heat,district heat,0.002695023
BJ,2015,chemical energy use,electricity,electricity,0.001993135
BJ,2015,chemical energy use,gas,gas,0.009593855
BJ,2015,chemical energy use,gas,gas CCS,0
BJ,2015,chemical energy use,hydrogen,hydrogen,0
BJ,2015,chemical energy use,liquid,liquid,0.002852342
BJ,2015,chemical energy use,liquid,liquid CCS,0
BJ,2015,chemical feedstocks,coal,coal,1.51E-06
BJ,2015,chemical feedstocks,gas,gas,0
BJ,2015,chemical feedstocks,liquid,liquid,0
BJ,2015,chemical,chemical,chemical,0.032444004
BJ,2015,coke,coke,coke,0
BJ,2015,coke,coke,coke CCS,0
BJ,2015,construction,construction,construction,0.013381019
BJ,2015,construction energy use,biomass,biomass,0
BJ,2015,construction energy use,coal,coal,0.001672835
BJ,2015,construction energy use,district heat,district heat,0
BJ,2015,construction energy use,electricity,electricity,0.002029865
BJ,2015,construction energy use,gas,gas,4.98E-05
BJ,2015,construction energy use,hydrogen,hydrogen,0
BJ,2015,construction energy use,liquid,liquid,0.009628519
BJ,2015,construction feedstocks,coal,coal,0
BJ,2015,construction feedstocks,gas,gas,0
BJ,2015,construction feedstocks,liquid,liquid,0
BJ,2015,iron and steel,BLASTFUR,Biomass-based,0
BJ,2015,iron and steel,BLASTFUR,BLASTFUR,0.015
BJ,2015,iron and steel,BLASTFUR,BLASTFUR CCS,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI,0
BJ,2015,iron and steel,EAF with DRI,EAF with DRI CCS,0
BJ,2015,iron and steel,EAF with DRI,Hydrogen-based DRI,0
BJ,2015,iron and steel,EAF with scrap,EAF with scrap,0
BJ,2015,mining energy use,biomass,biomass,0
BJ,2015,mining energy use,coal,coal,0.005970341
BJ,2015,mining energy use,district heat,district heat,0
BJ,2015,mining energy use,electricity,electricity,0.009533204
BJ,2015,mining energy use,gas,gas,0.003362624
BJ,2015,mining energy use,hydrogen,hydrogen,0
BJ,2015,mining energy use,liquid,liquid,0.001311152
CQ,1975,agricultural energy use,biomass,biomass,0
CQ,1975,agricultural energy use,coal,coal,0
CQ,1975,agricultural energy use,district heat,district heat,0
CQ,1975,agricultural energy use,electricity,electricity,0
CQ,1975,agricultural energy use,gas,gas,0
CQ,1975,agricultural energy use,hydrogen,hydrogen,0
CQ,1975,agricultural energy use,liquid,liquid,0
CQ,1975,chemical energy use,biomass,biomass,0
CQ,1975,chemical energy use,coal,coal,0
CQ,1975,chemical energy use,coal,coal CCS,0
CQ,1975,chemical energy use,district heat,district heat,0
CQ,1975,chemical energy use,electricity,electricity,0
CQ,1975,chemical energy use,gas,gas,0
CQ,1975,chemical energy use,gas,gas CCS,0
CQ,1975,chemical energy use,hydrogen,hydrogen,0
