# File: nonirrigation_shares_0p5degree.csv
# Title: Volume of water withdrawals at individual basin-province combinations for 2010 as calucated from Khan et al. (2023) data and other years from Huang et al. (2018)
# Units: km^3
# Comments: NA
# Column types: nccnnnnnn
# ----------
GCAM_basin_ID,basin_name,state_abbr,year,Domestic,Electricity,Livestock,Manufacturing,Mining
106,Yangtze,HA,1990,1.841252147,0.930042449,2.287284717,1.644334981,0.055982781
106,Yangtze,HA,2005,3.308930751,3.185068822,2.170061023,2.990529648,0.125726799
106,Yangtze,HA,2010,3.2605722,3.683793124,0.944287464,4.102136555,0.172450551
106,Yangtze,HB,1975,0.312616974,0.491147688,2.039962993,1.564538799,0.056290799
106,Yangtze,HB,1990,1.662519678,0.839762155,2.196291902,1.484717487,0.050548468
106,Yangtze,HB,2005,3.214447238,3.094122075,1.729653239,2.905137774,0.122136784
106,Yangtze,HB,2010,3.247479081,3.669000524,0.73509473,4.08566406,0.171758061
106,Yangtze,HN,1975,0.322264001,0.506303982,2.118050471,1.612818804,0.058027874
106,Yangtze,HN,1990,1.736595338,0.877178819,2.275596776,1.550870955,0.052800718
106,Yangtze,HN,2005,3.090495645,2.974810318,1.771421031,2.793113399,0.117427095
106,Yangtze,HN,2010,3.039899784,3.43447752,0.751905728,3.824507868,0.160779263
106,Yangtze,JS,1975,0.167992471,0.263930369,0.457390861,0.840743651,0.030249255
106,Yangtze,JS,1990,0.760974531,0.384378976,0.495883807,0.679590265,0.023137228
106,Yangtze,JS,2005,1.435779891,1.382034895,0.400649633,1.29762229,0.054554182
106,Yangtze,JS,2010,1.461647946,1.651369246,0.170370056,1.838904065,0.077306061
106,Yangtze,JX,1975,0.205829931,0.323376219,1.205974141,1.030106934,0.037062387
106,Yangtze,JX,1990,1.185503658,0.598814632,1.305076098,1.058717104,0.036044923
106,Yangtze,JX,2005,2.174473187,2.093076968,1.066457241,1.965234988,0.082621721
106,Yangtze,JX,2010,2.158624722,2.438813319,4.56E-01,2.715772828,1.14E-01
106,Yangtze,QH,1975,0.000910869,0.00143105,0.002437908,0.004558574,0.000164014
106,Yangtze,QH,1990,0.00628595,0.003175122,0.002999721,0.005613684,0.000191123
106,Yangtze,QH,2005,0.014930385,0.014371501,0.004097677,0.013493712,0.000567298
106,Yangtze,QH,2010,0.016238899,0.018346702,0.001825909,0.020430212,0.00085887
106,Yangtze,SC,1975,0.457877923,0.719364916,3.731396084,2.29151912,0.082446944
106,Yangtze,SC,1990,2.395981656,1.210244151,3.995441778,2.139737605,0.072849184
106,Yangtze,SC,2005,4.532248674,4.362594759,3.022179862,4.096134063,0.172208233
106,Yangtze,SC,2010,5.322357936,6.013197796,1.275193141,6.696075937,0.281497696
106,Yangtze,SD,1975,0.009959141,0.015646652,0.041689832,0.049842022,0.001793274
106,Yangtze,SD,1990,0.050047537,0.025279717,0.047096338,0.044695082,0.001521682
106,Yangtze,SD,2005,0.089489275,0.086139458,0.046300938,0.080878192,0.003400252
106,Yangtze,SD,2010,0.087689255,0.099071284,0.020044312,0.110322138,4.64E-03
