# File: ABSPI_intra_province_electricity_trade.csv
# Title: Intraprovince electricity trade
# Units: GWh
# Comments: obtained from Annual Book of Statistics for Power Industry from 2005 to 2019 preprocessed from original data format in Chinese
# Column types: ccnic
# ----------
from.region,to.region,value,year,units
FJ,HA,0,2005,GWh
JX,HA,42.01666667,2005,GWh
SD,HA,0,2005,GWh
HA,HA,0,2005,GWh
HB,HA,1717.96,2005,GWh
HN,HA,0,2005,GWh
GD,HA,0,2005,GWh
GX,HA,0,2005,GWh
HI,HA,0,2005,GWh
CQ,HA,0,2005,GWh
SC,HA,0,2005,GWh
GZ,HA,0,2005,GWh
YN,HA,0,2005,GWh
SN,HA,0,2005,GWh
GS,HA,0,2005,GWh
QH,HA,0,2005,GWh
NX,HA,0,2005,GWh
XJ,HA,0,2005,GWh
BJ,HB,0,2005,GWh
TJ,HB,0,2005,GWh
HE,HB,0,2005,GWh
SX,HB,0,2005,GWh
NM,HB,0,2005,GWh
LN,HB,0,2005,GWh
JL,HB,0,2005,GWh
HL,HB,0,2005,GWh
SH,HB,6.71,2005,GWh
JS,HB,13.54,2005,GWh
ZJ,HB,0,2005,GWh
AH,HB,0,2005,GWh
FJ,HB,0,2005,GWh
JX,HB,42.01666667,2005,GWh
SD,HB,0,2005,GWh
HA,HB,5266.57,2005,GWh
HB,HB,0,2005,GWh
HN,HB,94.82,2005,GWh
GD,HB,0,2005,GWh
GX,HB,0,2005,GWh
HI,HB,0,2005,GWh
CQ,HB,2401.85,2005,GWh
SC,HB,0,2005,GWh
GZ,HB,0,2005,GWh
YN,HB,0,2005,GWh
SN,HB,171.19,2005,GWh
GS,HB,0,2005,GWh
QH,HB,0,2005,GWh
NX,HB,0,2005,GWh
XJ,HB,0,2005,GWh
BJ,HN,0,2005,GWh
TJ,HN,0,2005,GWh
HE,HN,0,2005,GWh
SX,HN,0,2005,GWh
NM,HN,0,2005,GWh
LN,HN,0,2005,GWh
JL,HN,0,2005,GWh
HL,HN,0,2005,GWh
SH,HN,0,2005,GWh
JS,HN,13.54,2005,GWh
ZJ,HN,0,2005,GWh
AH,HN,0,2005,GWh
FJ,HN,0,2005,GWh
JX,HN,42.01666667,2005,GWh
SD,HN,0,2005,GWh
HA,HN,0,2005,GWh
HB,HN,5957.38,2005,GWh
HN,HN,0,2005,GWh
GD,HN,129.31,2005,GWh
GX,HN,3.29,2005,GWh
HI,HN,0,2005,GWh
CQ,HN,326.58,2005,GWh
SC,HN,0,2005,GWh
GZ,HN,2417.43,2005,GWh
YN,HN,0,2005,GWh
SN,HN,0,2005,GWh
GS,HN,0,2005,GWh
QH,HN,0,2005,GWh
NX,HN,0,2005,GWh
XJ,HN,0,2005,GWh
BJ,GD,0,2005,GWh
TJ,GD,0,2005,GWh
HE,GD,0,2005,GWh
SX,GD,0,2005,GWh
NM,GD,0,2005,GWh
LN,GD,0,2005,GWh
JL,GD,0,2005,GWh
HL,GD,0,2005,GWh
SH,GD,0,2005,GWh
JS,GD,0,2005,GWh
ZJ,GD,0,2005,GWh
AH,GD,0,2005,GWh
FJ,GD,0,2005,GWh
JX,GD,0,2005,GWh
SD,GD,0,2005,GWh
HA,GD,0,2005,GWh
HB,GD,18301.47,2005,GWh
HN,GD,3638.86,2005,GWh
GD,GD,0,2005,GWh
GX,GD,302.5,2005,GWh
HI,GD,0,2005,GWh
CQ,GD,0,2005,GWh
SC,GD,0,2005,GWh
GZ,GD,9136.89,2005,GWh
YN,GD,6296.31,2005,GWh
SN,GD,0,2005,GWh
GS,GD,0,2005,GWh
QH,GD,0,2005,GWh
NX,GD,0,2005,GWh
XJ,GD,0,2005,GWh
BJ,GX,0,2005,GWh
TJ,GX,0,2005,GWh
HE,GX,0,2005,GWh
SX,GX,0,2005,GWh
NM,GX,0,2005,GWh
LN,GX,0,2005,GWh
JL,GX,0,2005,GWh
HL,GX,0,2005,GWh
SH,GX,0,2005,GWh
JS,GX,0,2005,GWh
ZJ,GX,0,2005,GWh
AH,GX,0,2005,GWh
FJ,GX,0,2005,GWh
JX,GX,0,2005,GWh
SD,GX,0,2005,GWh
HA,GX,0,2005,GWh
HB,GX,0,2005,GWh
HN,GX,0,2005,GWh
GD,GX,590.04,2005,GWh
GX,GX,0,2005,GWh
HI,GX,0,2005,GWh
CQ,GX,0,2005,GWh
SC,GX,0,2005,GWh
GZ,GX,742.38,2005,GWh
YN,GX,0,2005,GWh
SN,GX,0,2005,GWh
GS,GX,0,2005,GWh
QH,GX,0,2005,GWh
NX,GX,0,2005,GWh
XJ,GX,0,2005,GWh
BJ,HI,0,2005,GWh
TJ,HI,0,2005,GWh
HE,HI,0,2005,GWh
SX,HI,0,2005,GWh
NM,HI,0,2005,GWh
LN,HI,0,2005,GWh
JL,HI,0,2005,GWh
HL,HI,0,2005,GWh
SH,HI,0,2005,GWh
JS,HI,0,2005,GWh
ZJ,HI,0,2005,GWh
AH,HI,0,2005,GWh
FJ,HI,0,2005,GWh
JX,HI,0,2005,GWh
SD,HI,0,2005,GWh
HA,HI,0,2005,GWh
HB,HI,0,2005,GWh
HN,HI,0,2005,GWh
GD,HI,0,2005,GWh
GX,HI,0,2005,GWh
HI,HI,0,2005,GWh
CQ,HI,0,2005,GWh
SC,HI,0,2005,GWh
GZ,HI,0,2005,GWh
YN,HI,0,2005,GWh
SN,HI,0,2005,GWh
GS,HI,0,2005,GWh
QH,HI,0,2005,GWh
NX,HI,0,2005,GWh
XJ,HI,0,2005,GWh
BJ,CQ,0,2005,GWh
TJ,CQ,0,2005,GWh
HE,CQ,0,2005,GWh
SX,CQ,0,2005,GWh
NM,CQ,0,2005,GWh
LN,CQ,0,2005,GWh
JL,CQ,0,2005,GWh
HL,CQ,0,2005,GWh
SH,CQ,0,2005,GWh
JS,CQ,0,2005,GWh
ZJ,CQ,0,2005,GWh
AH,CQ,0,2005,GWh
FJ,CQ,0,2005,GWh
JX,CQ,0,2005,GWh
SD,CQ,0,2005,GWh
HA,CQ,0,2005,GWh
HB,CQ,2893.99,2005,GWh
HN,CQ,0,2005,GWh
GD,CQ,0,2005,GWh
GX,CQ,0,2005,GWh
HI,CQ,0,2005,GWh
CQ,CQ,0,2005,GWh
SC,CQ,9698.15,2005,GWh
GZ,CQ,681.48,2005,GWh
YN,CQ,0,2005,GWh
SN,CQ,0,2005,GWh
GS,CQ,0,2005,GWh
QH,CQ,0,2005,GWh
NX,CQ,0,2005,GWh
XJ,CQ,0,2005,GWh
BJ,SC,0,2005,GWh
TJ,SC,0,2005,GWh
HE,SC,0,2005,GWh
SX,SC,0,2005,GWh
NM,SC,0,2005,GWh
LN,SC,0,2005,GWh
JL,SC,0,2005,GWh
HL,SC,0,2005,GWh
SH,SC,0,2005,GWh
JS,SC,0,2005,GWh
ZJ,SC,0,2005,GWh
AH,SC,0,2005,GWh
FJ,SC,0,2005,GWh
JX,SC,0,2005,GWh
SD,SC,0,2005,GWh
HA,SC,0,2005,GWh
HB,SC,0,2005,GWh
HN,SC,0,2005,GWh
GD,SC,0,2005,GWh
GX,SC,0,2005,GWh
HI,SC,0,2005,GWh
CQ,SC,1400.55,2005,GWh
SC,SC,0,2005,GWh
GZ,SC,0,2005,GWh
YN,SC,0,2005,GWh
SN,SC,0,2005,GWh
GS,SC,0,2005,GWh
QH,SC,0,2005,GWh
NX,SC,0,2005,GWh
XJ,SC,0,2005,GWh
BJ,GZ,0,2005,GWh
TJ,GZ,0,2005,GWh
HE,GZ,0,2005,GWh
SX,GZ,0,2005,GWh
NM,GZ,0,2005,GWh
LN,GZ,0,2005,GWh
JL,GZ,0,2005,GWh
HL,GZ,0,2005,GWh
SH,GZ,0,2005,GWh
JS,GZ,0,2005,GWh
ZJ,GZ,0,2005,GWh
AH,GZ,0,2005,GWh
FJ,GZ,0,2005,GWh
JX,GZ,0,2005,GWh
SD,GZ,0,2005,GWh
HA,GZ,0,2005,GWh
HB,GZ,0,2005,GWh
HN,GZ,0.18,2005,GWh
GD,GZ,0,2005,GWh
GX,GZ,0,2005,GWh
HI,GZ,0,2005,GWh
CQ,GZ,2.96,2005,GWh
SC,GZ,73.39,2005,GWh
GZ,GZ,0,2005,GWh
YN,GZ,264.21,2005,GWh
SN,GZ,0,2005,GWh
GS,GZ,0,2005,GWh
QH,GZ,0,2005,GWh
NX,GZ,0,2005,GWh
XJ,GZ,0,2005,GWh
BJ,YN,0,2005,GWh
TJ,YN,0,2005,GWh
HE,YN,0,2005,GWh
SX,YN,0,2005,GWh
NM,YN,0,2005,GWh
LN,YN,0,2005,GWh
JL,YN,0,2005,GWh
HL,YN,0,2005,GWh
SH,YN,0,2005,GWh
JS,YN,0,2005,GWh
ZJ,YN,0,2005,GWh
AH,YN,0,2005,GWh
FJ,YN,0,2005,GWh
JX,YN,0,2005,GWh
SD,YN,0,2005,GWh
HA,YN,0,2005,GWh
HB,YN,0,2005,GWh
HN,YN,0,2005,GWh
GD,YN,0,2005,GWh
GX,YN,0,2005,GWh
HI,YN,0,2005,GWh
CQ,YN,0,2005,GWh
SC,YN,53.52,2005,GWh
GZ,YN,0,2005,GWh
YN,YN,0,2005,GWh
SN,YN,0,2005,GWh
GS,YN,0,2005,GWh
QH,YN,0,2005,GWh
NX,YN,0,2005,GWh
XJ,YN,0,2005,GWh
BJ,SN,0,2005,GWh
TJ,SN,0,2005,GWh
HE,SN,5.95,2005,GWh
SX,SN,732.95,2005,GWh
NM,SN,0,2005,GWh
LN,SN,0,2005,GWh
JL,SN,0,2005,GWh
HL,SN,0,2005,GWh
SH,SN,0,2005,GWh
JS,SN,0,2005,GWh
ZJ,SN,0,2005,GWh
AH,SN,0,2005,GWh
FJ,SN,0,2005,GWh
JX,SN,0,2005,GWh
SD,SN,0,2005,GWh
HA,SN,4.93,2005,GWh
HB,SN,0,2005,GWh
HN,SN,0,2005,GWh
GD,SN,0,2005,GWh
GX,SN,0,2005,GWh
HI,SN,0,2005,GWh
CQ,SN,0,2005,GWh
SC,SN,0,2005,GWh
GZ,SN,0,2005,GWh
YN,SN,0,2005,GWh
SN,SN,0,2005,GWh
GS,SN,252.1,2005,GWh
QH,SN,192.7475,2005,GWh
NX,SN,266.19,2005,GWh
XJ,SN,0,2005,GWh
BJ,GS,0,2005,GWh
TJ,GS,0,2005,GWh
HE,GS,0,2005,GWh
SX,GS,0,2005,GWh
NM,GS,0,2005,GWh
LN,GS,0,2005,GWh
JL,GS,0,2005,GWh
HL,GS,0,2005,GWh
SH,GS,0,2005,GWh
JS,GS,0,2005,GWh
ZJ,GS,0,2005,GWh
AH,GS,0,2005,GWh
FJ,GS,0,2005,GWh
JX,GS,0,2005,GWh
SD,GS,0,2005,GWh
HA,GS,0,2005,GWh
HB,GS,0,2005,GWh
HN,GS,0,2005,GWh
GD,GS,0,2005,GWh
GX,GS,0,2005,GWh
HI,GS,0,2005,GWh
CQ,GS,0,2005,GWh
SC,GS,0,2005,GWh
GZ,GS,0,2005,GWh
YN,GS,0,2005,GWh
SN,GS,4085.68,2005,GWh
GS,GS,0,2005,GWh
QH,GS,192.7475,2005,GWh
NX,GS,725.23,2005,GWh
XJ,GS,0,2005,GWh
BJ,QH,0,2005,GWh
TJ,QH,0,2005,GWh
HE,QH,0,2005,GWh
SX,QH,0,2005,GWh
NM,QH,0,2005,GWh
LN,QH,0,2005,GWh
JL,QH,0,2005,GWh
HL,QH,0,2005,GWh
SH,QH,0,2005,GWh
JS,QH,0,2005,GWh
ZJ,QH,0,2005,GWh
AH,QH,0,2005,GWh
