# File: province_decile_gdp_per_capita_projections.csv
# Title: province-level decile of gdp per capita projections under scenarios
# Units: NA
# Comments: note the pop and gdp are not updated so leave them as blank
# Source: https://github.com/JGCRI/pridr, China Statistical Yearbook
# Column types: ccicnccnnn
# ----------
province_code,province,year,sce,shares,category,gcam.consumer,decile_pop,decile_gdp,decile_gdp_pc
AH,Anhui,2030,SSP3,0.073381268,d5,resid_urban,,,
AH,Anhui,2030,SSP2,0.075224523,d5,resid_urban,,,
AH,Anhui,2030,SSP1,0.077823228,d5,resid_urban,,,
AH,Anhui,2030,SSP5,0.079232418,d5,resid_urban,,,
AH,Anhui,2030,SSP4,0.082231292,d6,resid_urban,,,
AH,Anhui,2030,SSP3,0.083086155,d6,resid_urban,,,
AH,Anhui,2030,SSP2,0.084623909,d6,resid_urban,,,
AH,Anhui,2030,SSP1,0.086783457,d6,resid_urban,,,
AH,Anhui,2030,SSP5,0.08795083,d6,resid_urban,,,
AH,Anhui,2030,SSP4,0.094744362,d7,resid_urban,,,
AH,Anhui,2030,SSP3,0.095308457,d7,resid_urban,,,
AH,Anhui,2030,SSP2,0.096356526,d7,resid_urban,,,
AH,Anhui,2030,SSP1,0.097816239,d7,resid_urban,,,
AH,Anhui,2030,SSP5,0.098599999,d7,resid_urban,,,
AH,Anhui,2030,SSP4,0.112456975,d8,resid_urban,,,
AH,Anhui,2030,SSP3,0.112540747,d8,resid_urban,,,
AH,Anhui,2030,SSP2,0.11276669,d8,resid_urban,,,
AH,Anhui,2030,SSP1,0.113056598,d8,resid_urban,,,
AH,Anhui,2030,SSP5,0.113201338,d8,resid_urban,,,
AH,Anhui,2030,SSP5,0.139149768,d9,resid_urban,,,
AH,Anhui,2030,SSP1,0.140226281,d9,resid_urban,,,
AH,Anhui,2030,SSP2,0.142183201,d9,resid_urban,,,
AH,Anhui,2030,SSP3,0.143546245,d9,resid_urban,,,
AH,Anhui,2030,SSP4,0.144369228,d9,resid_urban,,,
AH,Anhui,2035,SSP4,0.02985029,d1,resid_urban,,,
AH,Anhui,2035,SSP3,0.030865177,d1,resid_urban,,,
AH,Anhui,2035,SSP2,0.033378804,d1,resid_urban,,,
AH,Anhui,2035,SSP1,0.036812233,d1,resid_urban,,,
AH,Anhui,2035,SSP5,0.038595624,d1,resid_urban,,,
AH,Anhui,2035,SSP5,0.245652382,d10,resid_urban,,,
AH,Anhui,2035,SSP1,0.256920966,d10,resid_urban,,,
AH,Anhui,2035,SSP2,0.279127094,d10,resid_urban,,,
AH,Anhui,2035,SSP3,0.29583078,d10,resid_urban,,,
AH,Anhui,2035,SSP4,0.302448017,d10,resid_urban,,,
AH,Anhui,2035,SSP4,0.045243002,d2,resid_urban,,,
AH,Anhui,2035,SSP3,0.046502128,d2,resid_urban,,,
AH,Anhui,2035,SSP2,0.049633526,d2,resid_urban,,,
AH,Anhui,2035,SSP1,0.053885856,d2,resid_urban,,,
AH,Anhui,2035,SSP5,0.056083739,d2,resid_urban,,,
AH,Anhui,2035,SSP4,0.054739188,d3,resid_urban,,,
AH,Anhui,2035,SSP3,0.056018547,d3,resid_urban,,,
AH,Anhui,2035,SSP2,0.059210344,d3,resid_urban,,,
AH,Anhui,2035,SSP1,0.063525217,d3,resid_urban,,,
AH,Anhui,2035,SSP5,0.06574689,d3,resid_urban,,,
AH,Anhui,2035,SSP4,0.063321235,d4,resid_urban,,,
AH,Anhui,2035,SSP3,0.064539547,d4,resid_urban,,,
AH,Anhui,2035,SSP2,0.067589402,d4,resid_urban,,,
AH,Anhui,2035,SSP1,0.071692445,d4,resid_urban,,,
AH,Anhui,2035,SSP5,0.073796269,d4,resid_urban,,,
AH,Anhui,2035,SSP4,0.072071621,d5,resid_urban,,,
AH,Anhui,2035,SSP3,0.07316519,d5,resid_urban,,,
AH,Anhui,2035,SSP2,0.075915076,d5,resid_urban,,,
AH,Anhui,2035,SSP1,0.079590946,d5,resid_urban,,,
AH,Anhui,2035,SSP5,0.081465293,d5,resid_urban,,,
AH,Anhui,2035,SSP4,0.082017644,d6,resid_urban,,,
AH,Anhui,2035,SSP3,0.08291809,d6,resid_urban,,,
AH,Anhui,2035,SSP2,0.085197962,d6,resid_urban,,,
AH,Anhui,2035,SSP1,0.088215718,d6,resid_urban,,,
AH,Anhui,2035,SSP5,0.089741209,d6,resid_urban,,,
AH,Anhui,2035,SSP4,0.094614812,d7,resid_urban,,,
AH,Anhui,2035,SSP3,0.095211448,d7,resid_urban,,,
AH,Anhui,2035,SSP2,0.096744831,d7,resid_urban,,,
AH,Anhui,2035,SSP1,0.09873135,d7,resid_urban,,,
AH,Anhui,2035,SSP5,0.099716145,d7,resid_urban,,,
AH,Anhui,2035,SSP4,0.112461822,d8,resid_urban,,,
AH,Anhui,2035,SSP3,0.112555615,d8,resid_urban,,,
AH,Anhui,2035,SSP2,0.112844393,d8,resid_urban,,,
AH,Anhui,2035,SSP1,0.113129296,d8,resid_urban,,,
AH,Anhui,2035,SSP5,0.113229553,d8,resid_urban,,,
AH,Anhui,2035,SSP5,0.137196528,d9,resid_urban,,,
AH,Anhui,2035,SSP1,0.138741915,d9,resid_urban,,,
AH,Anhui,2035,SSP2,0.141664009,d9,resid_urban,,,
AH,Anhui,2035,SSP3,0.143756917,d9,resid_urban,,,
AH,Anhui,2035,SSP4,0.144615122,d9,resid_urban,,,
AH,Anhui,2040,SSP4,0.029689822,d1,resid_urban,,,
AH,Anhui,2040,SSP3,0.030750594,d1,resid_urban,,,
AH,Anhui,2040,SSP2,0.034247371,d1,resid_urban,,,
AH,Anhui,2040,SSP1,0.038694728,d1,resid_urban,,,
AH,Anhui,2040,SSP5,0.040935883,d1,resid_urban,,,
AH,Anhui,2040,SSP5,0.231240923,d10,resid_urban,,,
AH,Anhui,2040,SSP1,0.245224917,d10,resid_urban,,,
AH,Anhui,2040,SSP2,0.273537487,d10,resid_urban,,,
AH,Anhui,2040,SSP3,0.296565589,d10,resid_urban,,,
AH,Anhui,2040,SSP4,0.303443646,d10,resid_urban,,,
AH,Anhui,2040,SSP4,0.045045987,d2,resid_urban,,,
AH,Anhui,2040,SSP3,0.046360472,d2,resid_urban,,,
AH,Anhui,2040,SSP2,0.05070811,d2,resid_urban,,,
AH,Anhui,2040,SSP1,0.056197753,d2,resid_urban,,,
AH,Anhui,2040,SSP5,0.058952556,d2,resid_urban,,,
AH,Anhui,2040,SSP4,0.054540632,d3,resid_urban,,,
AH,Anhui,2040,SSP3,0.055875009,d3,resid_urban,,,
AH,Anhui,2040,SSP2,0.060299836,d3,resid_urban,,,
