"region","sector","Year","co2.emiss","scenario"
"HE","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","coal to liquids","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","coke","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","comm heating","1990",0.1953337,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","comm heating","1990",0.3248022,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","comm heating","1990",0.05073841,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","comm heating","1990",1.06e-05,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","comm heating","1990",1.06e-05,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","comm heating","1990",0.40130844,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","comm heating","1990",2.48e-05,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","comm heating","1990",0.306082,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","comm heating","1990",0.12094437,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","comm heating","1990",0.1580008,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","comm heating","1990",0.4496878,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","comm heating","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","comm heating","1990",0.12326843,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","comm heating","1990",0.13588804,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","comm heating","1990",0.5972828,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","comm heating","1990",0.1258007,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","comm heating","1990",0.03911759,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","comm heating","1990",0.2861046,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","comm heating","1990",0.3477504,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","comm heating","1990",0.01246896,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","comm heating","1990",0.0120037,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","comm heating","1990",0.2280704,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","comm heating","1990",1.0330745,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","comm heating","1990",0.1609643,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","comm heating","1990",0.09288768,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","comm heating","1990",0.11934942,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","comm heating","1990",0.32342501,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","comm heating","1990",0.1718899,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XZ","comm heating","1990",0.3588294,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","comm heating","1990",0.0723243,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","comm heating","1990",0.1664224,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","comm hot water_cooking","1990",0.1637489,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","comm hot water_cooking","1990",0.02277201,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","comm hot water_cooking","1990",0.017968,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","comm hot water_cooking","1990",0.07656748,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","comm hot water_cooking","1990",0.3897837,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","comm hot water_cooking","1990",0.00881013,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GX","comm hot water_cooking","1990",0.1644921,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GZ","comm hot water_cooking","1990",0.2879437,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HA","comm hot water_cooking","1990",0.00413399,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HB","comm hot water_cooking","1990",0.15153468,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HE","comm hot water_cooking","1990",0.01301944,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HI","comm hot water_cooking","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HL","comm hot water_cooking","1990",0.00969108,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"HN","comm hot water_cooking","1990",0.1335904,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JL","comm hot water_cooking","1990",0.04710958,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JS","comm hot water_cooking","1990",0.11963248,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"JX","comm hot water_cooking","1990",0.0385418,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"LN","comm hot water_cooking","1990",0.0224702,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NM","comm hot water_cooking","1990",0.0281112,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"NX","comm hot water_cooking","1990",0.001355,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"QH","comm hot water_cooking","1990",0.001044,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SC","comm hot water_cooking","1990",0.2063232,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SD","comm hot water_cooking","1990",0.0321484,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SH","comm hot water_cooking","1990",0.0982384,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SN","comm hot water_cooking","1990",0.00337183,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"SX","comm hot water_cooking","1990",0.00331464,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"TJ","comm hot water_cooking","1990",0.01517839,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XJ","comm hot water_cooking","1990",0.01598947,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"XZ","comm hot water_cooking","1990",0.08873338,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"YN","comm hot water_cooking","1990",0.0598066,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"ZJ","comm hot water_cooking","1990",0.1565396,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"AH","construction energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"BJ","construction energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"CQ","construction energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"FJ","construction energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GD","construction energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
"GS","construction energy use","1990",0,"GCAM-China-test-postbioemiss,date=2024-30-8T13:50:47+02:00"
